"/age","/silver","/athlete","/bronze","/date","/gold","/sport","/country","/total","/year"
"27","0","Dana Faletic","1","29/08/2004","0","Rowing","Australia","1","2004"
"24","0","Sergey Fedorovtsev","0","29/08/2004","1","Rowing","Russia","1","2004"
"24","1","Debbie Flood","0","29/08/2004","0","Rowing","Great Britain","1","2004"
"21","0","Rodica Florea-Serban","0","29/08/2004","1","Rowing","Romania","1","2004"
"25","1","Jan-Willem Gabriëls","0","29/08/2004","0","Rowing","Netherlands","1","2004"
"29","0","Liliana Gafencu","0","29/08/2004","1","Rowing","Romania","1","2004"
"32","0","Rossano Galtarossa","1","29/08/2004","0","Rowing","Italy","1","2004"
"26","0","Nataliya Gelakh","1","29/08/2004","0","Rowing","Belarus","1","2004"
"40","0","Elena Georgescu","0","29/08/2004","1","Rowing","Romania","1","2004"
"29","0","Drew Ginn","0","29/08/2004","1","Rowing","Australia","1","2004"
"28","1","Katherine Grainger","0","29/08/2004","0","Rowing","Great Britain","1","2004"
"21","1","Jakub Hanák","0","29/08/2004","0","Rowing","Czech Republic","1","2004"
"25","0","Joey Hansen","0","29/08/2004","1","Rowing","United States","1","2004"
"31","0","Bo Hanson","1","29/08/2004","0","Rowing","Australia","1","2004"
"26","0","Adrien Hardy","0","29/08/2004","1","Rowing","France","1","2004"
"26","1","Tom Herschmiller","0","29/08/2004","0","Rowing","Canada","1","2004"
"27","0","Nienke Hommes","1","29/08/2004","0","Rowing","Netherlands","1","2004"
"23","0","Beau Hoopman","0","29/08/2004","1","Rowing","United States","1","2004"
"23","0","Kerry Hore","1","29/08/2004","0","Rowing","Australia","1","2004"
"23","1","Frances Houghton","0","29/08/2004","0","Rowing","Great Britain","1","2004"
"22","0","Serhiy Hryn","1","29/08/2004","0","Rowing","Ukraine","1","2004"
"35","0","Doina Ignat","0","29/08/2004","1","Rowing","Romania","1","2004"
"38","1","Jüri Jaanson","0","29/08/2004","0","Rowing","Estonia","1","2004"
"22","1","David Jirka","0","29/08/2004","0","Rowing","Czech Republic","1","2004"
"25","1","Katie Johnson","0","29/08/2004","0","Rowing","United States","1","2004"
"29","1","Tomáš Karas","0","29/08/2004","0","Rowing","Czech Republic","1","2004"
"32","1","Yekaterina Khodatovich-Karsten","0","29/08/2004","0","Rowing","Belarus","1","2004"
"24","1","David Kopriva","0","29/08/2004","0","Rowing","Czech Republic","1","2004"
"34","1","Laurel Korholz","0","29/08/2004","0","Rowing","United States","1","2004"
"28","0","Kerstin Kowalski-El-Qalqili","0","29/08/2004","1","Rowing","Germany","1","2004"
"30","0","Igor Kravtsov","0","29/08/2004","1","Rowing","Russia","1","2004"
"24","0","Thor Kristensen","0","29/08/2004","1","Rowing","Denmark","1","2004"
"30","0","Tomasz Kucharski","0","29/08/2004","1","Rowing","Poland","1","2004"
"29","0","Elise Laverick","1","29/08/2004","0","Rowing","Great Britain","1","2004"
"31","0","Raffaello Leonardo","1","29/08/2004","0","Rowing","Italy","1","2004"
"28","1","Glen Loftus","0","29/08/2004","0","Rowing","Australia","1","2004"
"30","0","Manuela Lutze","0","29/08/2004","1","Rowing","Germany","1","2004"
"31","0","Oleh Lykov","1","29/08/2004","0","Rowing","Ukraine","1","2004"
"21","1","Sam Magee","0","29/08/2004","0","Rowing","United States","1","2004"
"23","0","Bruno Mascarenhas","1","29/08/2004","0","Rowing","Italy","1","2004"
"39","0","Mike McKay","1","29/08/2004","0","Rowing","Australia","1","2004"
"25","1","Daniël Mensch","0","29/08/2004","0","Rowing","Netherlands","1","2004"
"24","1","Anna Mickelson-Cummins","0","29/08/2004","0","Rowing","United States","1","2004"
"33","1","Alison Mowbray","0","29/08/2004","0","Rowing","Great Britain","1","2004"
"25","0","Stephan Mølvig","0","29/08/2004","1","Rowing","Denmark","1","2004"
"32","1","Lianne Nelson","0","29/08/2004","0","Rowing","United States","1","2004"
"39","0","Elisabeta Oleniuc-Lipa","0","29/08/2004","1","Rowing","Romania","1","2004"
"26","1","Britta Oppelt","0","29/08/2004","0","Rowing","Germany","1","2004"
"20","0","Ioana Papuc-Rotaru","0","29/08/2004","1","Rowing","Romania","1","2004"
"33","0","Matthew Pinsent","0","29/08/2004","1","Rowing","Great Britain","1","2004"
"33","0","Constanta Pipota-Burcica","0","29/08/2004","1","Rowing","Romania","1","2004"
"28","0","Vasilios Polymeros","1","29/08/2004","0","Rowing","Greece","1","2004"
"22","0","Lorenzo Porzio","1","29/08/2004","0","Rowing","Italy","1","2004"
"26","0","Jason Read","0","29/08/2004","1","Rowing","United States","1","2004"
"21","1","Daniela Reimer","0","29/08/2004","0","Rowing","Germany","1","2004"
"25","0","Stuart Reside","1","29/08/2004","0","Rowing","Australia","1","2004"
"24","1","Rebecca Romero","0","29/08/2004","0","Rowing","Great Britain","1","2004"
"29","0","Katrin Rutschow-Stomporowski","0","29/08/2004","1","Rowing","Germany","1","2004"
"27","0","Alessio Sartori","1","29/08/2004","0","Rowing","Italy","1","2004"
"23","0","Rebecca Sattin","1","29/08/2004","0","Rowing","Australia","1","2004"
"34","0","Leonid Shaposhnykov","1","29/08/2004","0","Rowing","Ukraine","1","2004"
"22","0","Sarah Siegelaar","1","29/08/2004","0","Rowing","Netherlands","1","2004"
"34","1","Diederik Simon","0","29/08/2004","0","Rowing","Netherlands","1","2004"
"26","1","Nikša Skelin","0","29/08/2004","0","Rowing","Croatia","1","2004"
"30","1","Siniša Skelin","0","29/08/2004","0","Rowing","Croatia","1","2004"
"22","0","Nikos Skiathitis","1","29/08/2004","0","Rowing","Greece","1","2004"
"22","0","Marlies Smulders","1","29/08/2004","0","Rowing","Netherlands","1","2004"
"25","1","Luka Špik","0","29/08/2004","0","Rowing","Slovenia","1","2004"
"30","0","Nikolay Spinev","0","29/08/2004","1","Rowing","Russia","1","2004"
"30","0","Geoff Stewart","1","29/08/2004","0","Rowing","Australia","1","2004"
"30","0","James Stewart","1","29/08/2004","0","Rowing","Australia","1","2004"
"26","0","Steve Stewart","1","29/08/2004","0","Rowing","Australia","1","2004"
"25","0","Aleksey Svirin","0","29/08/2004","1","Rowing","Russia","1","2004"
"30","0","Robert Sycz","0","29/08/2004","1","Rowing","Poland","1","2004"
"22","0","Stefan Szczurowski","1","29/08/2004","0","Rowing","Australia","1","2004"
"32","0","Angela Tamas-Alupei","0","29/08/2004","1","Rowing","Romania","1","2004"
"25","0","Helen Tanger","1","29/08/2004","0","Rowing","Netherlands","1","2004"
"38","0","James Tomkins","0","29/08/2004","1","Rowing","Australia","1","2004"
"25","0","Michael Toon","1","29/08/2004","0","Rowing","Australia","1","2004"
"31","1","Pascal Touron","0","29/08/2004","0","Rowing","France","1","2004"
"28","0","Olaf Tufte","0","29/08/2004","1","Rowing","Norway","1","2004"
"28","0","Kirsten van der Kolk","1","29/08/2004","0","Rowing","Netherlands","1","2004"
"34","0","Marit van Eupen","1","29/08/2004","0","Rowing","Netherlands","1","2004"
"24","0","Annemarieke van Rumpt","1","29/08/2004","0","Rowing","Netherlands","1","2004"
"26","1","Matthijs Vellenga","0","29/08/2004","0","Rowing","Netherlands","1","2004"
"23","1","Gijs Vermeulen","0","29/08/2004","0","Rowing","Netherlands","1","2004"
"27","0","Sébastien Vielledent","0","29/08/2004","1","Rowing","France","1","2004"
"27","0","Bryan Volpenhein","0","29/08/2004","1","Rowing","United States","1","2004"
"24","1","Peggy Waleska","0","29/08/2004","0","Rowing","Germany","1","2004"
"25","0","Froukje Wegman","1","29/08/2004","0","Rowing","Netherlands","1","2004"
"26","0","Stuart Welch","1","29/08/2004","0","Rowing","Australia","1","2004"
"27","1","Jake Wetzel","0","29/08/2004","0","Rowing","Canada","1","2004"
"24","1","Mary Whipple","0","29/08/2004","0","Rowing","United States","1","2004"
"27","1","Barney Williams","0","29/08/2004","0","Rowing","Canada","1","2004"
"28","0","Steve Williams","0","29/08/2004","1","Rowing","Great Britain","1","2004"
"30","0","Sarah Winckless","1","29/08/2004","0","Rowing","Great Britain","1","2004"
"29","0","Ester Workel","1","29/08/2004","0","Rowing","Netherlands","1","2004"
"28","0","Ivo Yanakiev","1","29/08/2004","0","Rowing","Bulgaria","1","2004"
"34","0","Agostino Abbagnale","0","01/10/2000","1","Rowing","Italy","1","2000"
"23","0","Buffy Alexander-Williams","1","01/10/2000","0","Rowing","Canada","1","2000"
"33","0","Michel Andrieux","0","01/10/2000","1","Rowing","France","1","2000"
"27","1","Tessa Appeldoorn","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"25","0","Louis Attrill","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"27","1","Darren Balmforth","0","01/10/2000","0","Rowing","Australia","1","2000"
"33","1","Michiel Bartman","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"32","1","Guin Batten","0","01/10/2000","0","Rowing","Great Britain","1","2000"
"35","1","Miriam Batten","0","01/10/2000","0","Rowing","Great Britain","1","2000"
"23","1","Sebastian Bea","0","01/10/2000","0","Rowing","United States","1","2000"
"25","1","Fredrik Bekken","0","01/10/2000","0","Rowing","Norway","1","2000"
"22","0","Jean-Christophe Bette","0","01/10/2000","1","Rowing","France","1","2000"
"29","0","Laryssa Biesenthal","1","01/10/2000","0","Rowing","Canada","1","2000"
"25","1","Claudia Blasberg","0","01/10/2000","0","Rowing","Germany","1","2000"
"29","0","Igor Boraska","1","01/10/2000","0","Rowing","Croatia","1","2000"
"30","0","Kathrin Boron","0","01/10/2000","1","Rowing","Germany","1","2000"
"33","1","Simon Burgess","0","01/10/2000","0","Rowing","Australia","1","2000"
"26","1","Dan Burke","0","01/10/2000","0","Rowing","Australia","1","2000"
"33","0","Giovanni Calabrese","1","01/10/2000","0","Rowing","Italy","1","2000"
"23","1","Lorenzo Carboncini","0","01/10/2000","0","Rowing","Italy","1","2000"
"23","0","Thibaud Chapelle","1","01/10/2000","0","Rowing","France","1","2000"
"34","0","Veronica Cogeanu-Cochelea","0","01/10/2000","1","Rowing","Romania","1","2000"
"31","0","Christine Collins","1","01/10/2000","0","Rowing","United States","1","2000"
"28","0","Iztok Cop","0","01/10/2000","1","Rowing","Slovenia","1","2000"
"28","0","James Cracknell","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"30","0","Krešimir Culjak","1","01/10/2000","0","Rowing","Croatia","1","2000"
"26","0","Heather Davis","1","01/10/2000","0","Rowing","Canada","1","2000"
"31","1","Riccardo Dei Rossi","0","01/10/2000","0","Rowing","Italy","1","2000"
"24","0","Simon Dennis","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"28","0","Ben Dodwell","1","01/10/2000","0","Rowing","Australia","1","2000"
"27","0","Xavier Dorfmann","0","01/10/2000","1","Rowing","France","1","2000"
"26","0","Oksana Dorodnova","1","01/10/2000","0","Rowing","Russia","1","2000"
"23","0","Rowley Douglas","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"23","0","Maria Dumitrache","0","01/10/2000","1","Rowing","Romania","1","2000"
"27","1","Rumyana Dzhadzharova-Neykova","0","01/10/2000","0","Rowing","Bulgaria","1","2000"
"28","0","Eskild Ebbesen","1","01/10/2000","0","Rowing","Denmark","1","2000"
"27","0","Thomas Ebert","1","01/10/2000","0","Rowing","Denmark","1","2000"
"27","1","Anthony Edwards","0","01/10/2000","0","Rowing","Australia","1","2000"
"23","0","Meike Evers","0","01/10/2000","1","Rowing","Germany","1","2000"
"32","0","Victor Feddersen","1","01/10/2000","0","Rowing","Denmark","1","2000"
"25","0","Irina Fedotova","1","01/10/2000","0","Rowing","Russia","1","2000"
"29","1","Jaime Fernandez","0","01/10/2000","0","Rowing","Australia","1","2000"
"30","0","Tim Foster","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"23","0","Igor Francetic","1","01/10/2000","0","Rowing","Croatia","1","2000"
"29","0","Tihomir Frankovic","1","01/10/2000","0","Rowing","Croatia","1","2000"
"25","0","Liliana Gafencu","0","01/10/2000","1","Rowing","Romania","1","2000"
"28","0","Rossano Galtarossa","0","01/10/2000","1","Rowing","Italy","1","2000"
"29","0","Sarah Garner","1","01/10/2000","0","Rowing","United States","1","2000"
"26","0","Marco Geisler","1","01/10/2000","0","Rowing","Germany","1","2000"
"36","0","Elena Georgescu","0","01/10/2000","1","Rowing","Romania","1","2000"
"23","1","Alastair Gordon","0","01/10/2000","0","Rowing","Australia","1","2000"
"24","1","Katherine Grainger","0","01/10/2000","0","Rowing","Great Britain","1","2000"
"26","0","Luka Grubor","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"23","0","Marcel Hacker","1","01/10/2000","0","Rowing","Germany","1","2000"
"32","0","Andreas Hajek","1","01/10/2000","0","Rowing","Germany","1","2000"
"27","0","Bo Hanson","1","01/10/2000","0","Rowing","Australia","1","2000"
"28","1","Brett Hayman","0","01/10/2000","0","Rowing","Australia","1","2000"
"27","0","Yves Hocdé","0","01/10/2000","1","Rowing","France","1","2000"
"28","0","Ben Hunt-Davis","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"26","1","Rob Jahrling","0","01/10/2000","0","Rowing","Australia","1","2000"
"28","0","Yekaterina Khodatovich-Karsten","0","01/10/2000","1","Rowing","Belarus","1","2000"
"29","0","Alison Korn","1","01/10/2000","0","Rowing","Canada","1","2000"
"24","0","Manja Kowalski","0","01/10/2000","1","Rowing","Germany","1","2000"
"24","0","Kerstin Kowalski-El-Qalqili","0","01/10/2000","1","Rowing","Germany","1","2000"
"31","0","Karen Kraft","1","01/10/2000","0","Rowing","United States","1","2000"
"26","0","Tomasz Kucharski","0","01/10/2000","1","Rowing","Poland","1","2000"
"27","0","Yuliya Levina","1","01/10/2000","0","Rowing","Russia","1","2000"
"23","0","Andrew Lindsay","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"26","1","Gillian Lindsay","0","01/10/2000","0","Rowing","Great Britain","1","2000"
"23","1","Dirk Lippits","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"25","0","Matthew Long","1","01/10/2000","0","Rowing","Australia","1","2000"
"21","1","Elia Luini","0","01/10/2000","0","Rowing","Italy","1","2000"
"33","0","Theresa Luke","1","01/10/2000","0","Rowing","Canada","1","2000"
"26","0","Manuela Lutze","0","01/10/2000","1","Rowing","Germany","1","2000"
"24","0","Søren Madsen","1","01/10/2000","0","Rowing","Denmark","1","2000"
"31","0","Heather McDermid","1","01/10/2000","0","Rowing","Canada","1","2000"
"35","1","Mike McKay","0","01/10/2000","0","Rowing","Australia","1","2000"
"30","1","Elien Meijer","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"29","0","Larisa Merk","1","01/10/2000","0","Rowing","Russia","1","2000"
"34","1","Valter Molea","0","01/10/2000","0","Rowing","Italy","1","2000"
"28","1","Carlo Mornati","0","01/10/2000","0","Rowing","Italy","1","2000"
"28","1","Xeno Müller","0","01/10/2000","0","Rowing","Switzerland","1","2000"
"28","1","Ted Murphy","0","01/10/2000","0","Rowing","United States","1","2000"
"35","0","Elisabeta Oleniuc-Lipa","0","01/10/2000","1","Rowing","Romania","1","2000"
"34","0","Ioana Olteanu","0","01/10/2000","1","Rowing","Romania","1","2000"
"29","1","Nelleke Penninx","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"20","0","Silvijo Petriško","1","01/10/2000","0","Rowing","Croatia","1","2000"
"27","1","Leonardo Pettinari","0","01/10/2000","0","Rowing","Italy","1","2000"
"29","0","Matthew Pinsent","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"29","0","Constanta Pipota-Burcica","0","01/10/2000","1","Rowing","Romania","1","2000"
"29","0","Kristina Poplavskaja","1","01/10/2000","0","Rowing","Lithuania","1","2000"
"32","0","Laurent Porchier","0","01/10/2000","1","Rowing","France","1","2000"
"28","1","Nick Porzig","0","01/10/2000","0","Rowing","Australia","1","2000"
"26","1","Martijntje Quik","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"23","0","Simone Raineri","0","01/10/2000","1","Rowing","Italy","1","2000"
"38","0","Steven Redgrave","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"28","1","Robert Richards","0","01/10/2000","0","Rowing","Australia","1","2000"
"28","0","Emma Robinson","1","01/10/2000","0","Rowing","Canada","1","2000"
"32","0","Jean-Christophe Rolland","0","01/10/2000","1","Rowing","France","1","2000"
"25","0","Katrin Rutschow-Stomporowski","1","01/10/2000","0","Rowing","Germany","1","2000"
"23","1","Christian Ryan","0","01/10/2000","0","Rowing","Australia","1","2000"
"31","0","Birute Šakickiene","1","01/10/2000","0","Rowing","Lithuania","1","2000"
"23","0","Alessio Sartori","0","01/10/2000","1","Rowing","Italy","1","2000"
"24","0","Nicola Sartori","1","01/10/2000","0","Rowing","Italy","1","2000"
"25","0","Fred Scarlett","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"28","0","Missy Schwen-Ryan","1","01/10/2000","0","Rowing","United States","1","2000"
"30","1","Diederik Simon","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"22","0","Nikša Skelin","1","01/10/2000","0","Rowing","Croatia","1","2000"
"26","0","Siniša Skelin","1","01/10/2000","0","Rowing","Croatia","1","2000"
"28","1","Kate Slatter","0","01/10/2000","0","Rowing","Australia","1","2000"
"23","0","Tomislav Smoljanovic","1","01/10/2000","0","Rowing","Croatia","1","2000"
"21","0","Luka Špik","0","01/10/2000","1","Rowing","Slovenia","1","2000"
"26","0","Geoff Stewart","1","01/10/2000","0","Rowing","Australia","1","2000"
"26","0","James Stewart","1","01/10/2000","0","Rowing","Australia","1","2000"
"24","0","Viorica Susanu","0","01/10/2000","1","Rowing","Romania","1","2000"
"26","0","Robert Sycz","0","01/10/2000","1","Rowing","Poland","1","2000"
"28","0","Angela Tamas-Alupei","0","01/10/2000","1","Rowing","Romania","1","2000"
"24","1","Rachael Taylor","0","01/10/2000","0","Rowing","Australia","1","2000"
"29","1","Carin ter Beek","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"30","0","Jana Thieme","0","01/10/2000","1","Rowing","Germany","1","2000"
"40","0","Lesley Thompson-Willie","1","01/10/2000","0","Rowing","Canada","1","2000"
"35","0","James Tomkins","1","01/10/2000","0","Rowing","Australia","1","2000"
"27","0","Pascal Touron","1","01/10/2000","0","Rowing","France","1","2000"
"25","0","Steve Trapmore","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"24","1","Olaf Tufte","0","01/10/2000","0","Rowing","Norway","1","2000"
"28","0","Dorota Urbaniak","1","01/10/2000","0","Rowing","Canada","1","2000"
"29","1","Anneke Venema","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"22","1","Jochem Verberne","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"24","1","Valerie Viehoff","0","01/10/2000","0","Rowing","Germany","1","2000"
"29","0","Stephan Volkert","1","01/10/2000","0","Rowing","Germany","1","2000"
"25","0","Branimir Vujevic","1","01/10/2000","0","Rowing","Croatia","1","2000"
"25","0","Rob Waddell","0","01/10/2000","1","Rowing","New Zealand","1","2000"
"22","1","Stuart Welch","0","01/10/2000","0","Rowing","Australia","1","2000"
"23","0","Kieran West","0","01/10/2000","1","Rowing","Great Britain","1","2000"
"26","1","Marieke Westerhof","0","01/10/2000","0","Rowing","Netherlands","1","2000"
"28","0","André Willms","1","01/10/2000","0","Rowing","Germany","1","2000"
"24","0","Elisa Blanchi","1","12/08/2012","0","Rhythmic Gymnastics","Italy","1","2012"
"18","0","Anastasiya Bliznyuk","0","12/08/2012","1","Rhythmic Gymnastics","Russia","1","2012"
"24","0","Lyubov Cherkashina","1","12/08/2012","0","Rhythmic Gymnastics","Belarus","1","2012"
"19","1","Darya Dmitriyeva","0","12/08/2012","0","Rhythmic Gymnastics","Russia","1","2012"
"19","0","Ulyana Donskova","0","12/08/2012","1","Rhythmic Gymnastics","Russia","1","2012"
"17","0","Kseniya Dudkina","0","12/08/2012","1","Rhythmic Gymnastics","Russia","1","2012"
"22","1","Marina Goncharova","0","12/08/2012","0","Rhythmic Gymnastics","Belarus","1","2012"
"20","1","Anastasiya Ivankova","0","12/08/2012","0","Rhythmic Gymnastics","Belarus","1","2012"
"22","0","Yevgeniya Kanayeva","0","12/08/2012","1","Rhythmic Gymnastics","Russia","1","2012"
"25","0","Romina Laurito","1","12/08/2012","0","Rhythmic Gymnastics","Italy","1","2012"
"17","1","Nataliya Leshchik","0","12/08/2012","0","Rhythmic Gymnastics","Belarus","1","2012"
"17","0","Alina Makarenko","0","12/08/2012","1","Rhythmic Gymnastics","Russia","1","2012"
"17","1","Aleksandra Narkevich","0","12/08/2012","0","Rhythmic Gymnastics","Belarus","1","2012"
"19","0","Anastasiya Nazarenko","0","12/08/2012","1","Rhythmic Gymnastics","Russia","1","2012"
"21","0","Marta Pagnini","1","12/08/2012","0","Rhythmic Gymnastics","Italy","1","2012"
"22","1","Kseniya Sankovich","0","12/08/2012","0","Rhythmic Gymnastics","Belarus","1","2012"
"24","0","Elisa Santoni","1","12/08/2012","0","Rhythmic Gymnastics","Italy","1","2012"
"22","0","Angelica Savrayuk","1","12/08/2012","0","Rhythmic Gymnastics","Italy","1","2012"
"17","0","Karolina Sevastyanova","0","12/08/2012","1","Rhythmic Gymnastics","Russia","1","2012"
"18","0","Andreea Stefanescu","1","12/08/2012","0","Rhythmic Gymnastics","Italy","1","2012"
"22","1","Alina Tumilovich","0","12/08/2012","0","Rhythmic Gymnastics","Belarus","1","2012"
"18","0","Margarita Aliychuk","0","24/08/2008","1","Rhythmic Gymnastics","Russia","1","2008"
"19","0","Alesya Babushkina","1","24/08/2008","0","Rhythmic Gymnastics","Belarus","1","2008"
"24","0","Hanna Bezsonova","1","24/08/2008","0","Rhythmic Gymnastics","Ukraine","1","2008"
"18","1","Cai Tongtong","0","24/08/2008","0","Rhythmic Gymnastics","China","1","2008"
"20","1","Chou Tao","0","24/08/2008","0","Rhythmic Gymnastics","China","1","2008"
"18","0","Anna Gavrilenko","0","24/08/2008","1","Rhythmic Gymnastics","Russia","1","2008"
"18","0","Tatyana Gorbunova","0","24/08/2008","1","Rhythmic Gymnastics","Russia","1","2008"
"16","0","Anastasiya Ivankova","1","24/08/2008","0","Rhythmic Gymnastics","Belarus","1","2008"
"18","0","Yevgeniya Kanayeva","0","24/08/2008","1","Rhythmic Gymnastics","Russia","1","2008"
"25","1","Lu Yuanyang","0","24/08/2008","0","Rhythmic Gymnastics","China","1","2008"
"19","0","Zina Lunina","1","24/08/2008","0","Rhythmic Gymnastics","Belarus","1","2008"
"19","0","Glafira Martinovich","1","24/08/2008","0","Rhythmic Gymnastics","Belarus","1","2008"
"22","0","Yelena Posevina","0","24/08/2008","1","Rhythmic Gymnastics","Russia","1","2008"
"18","0","Kseniya Sankovich","1","24/08/2008","0","Rhythmic Gymnastics","Belarus","1","2008"
"17","0","Darya Shkurikhina","0","24/08/2008","1","Rhythmic Gymnastics","Russia","1","2008"
"19","1","Sui Jianshuang","0","24/08/2008","0","Rhythmic Gymnastics","China","1","2008"
"21","1","Sun Dan","0","24/08/2008","0","Rhythmic Gymnastics","China","1","2008"
"18","0","Alina Tumilovich","1","24/08/2008","0","Rhythmic Gymnastics","Belarus","1","2008"
"24","1","Zhang Shuo","0","24/08/2008","0","Rhythmic Gymnastics","China","1","2008"
"21","1","Inna Zhukova","0","24/08/2008","0","Rhythmic Gymnastics","Belarus","1","2008"
"19","0","Nataliya Zuyeva","0","24/08/2008","1","Rhythmic Gymnastics","Russia","1","2008"
"20","0","Olesya Belugina","0","29/08/2004","1","Rhythmic Gymnastics","Russia","1","2004"
"20","0","Hanna Bezsonova","1","29/08/2004","0","Rhythmic Gymnastics","Ukraine","1","2004"
"16","1","Elisa Blanchi","0","29/08/2004","0","Rhythmic Gymnastics","Italy","1","2004"
"22","1","Irina Chashchina","0","29/08/2004","0","Rhythmic Gymnastics","Russia","1","2004"
"19","1","Fabrizia D'Ottavio","0","29/08/2004","0","Rhythmic Gymnastics","Italy","1","2004"
"18","1","Marinella Falca","0","29/08/2004","0","Rhythmic Gymnastics","Italy","1","2004"
"15","0","Olga Glatskikh","0","29/08/2004","1","Rhythmic Gymnastics","Russia","1","2004"
"19","0","Zhaneta Ilieva","1","29/08/2004","0","Rhythmic Gymnastics","Bulgaria","1","2004"
"21","0","Alina Kabayeva","0","29/08/2004","1","Rhythmic Gymnastics","Russia","1","2004"
"18","0","Ele?nora Kezhova","1","29/08/2004","0","Rhythmic Gymnastics","Bulgaria","1","2004"
"18","0","Tatyana Kurbakova","0","29/08/2004","1","Rhythmic Gymnastics","Russia","1","2004"
"20","0","Nataliya Lavrova","0","29/08/2004","1","Rhythmic Gymnastics","Russia","1","2004"
"17","0","Zornitsa Marinova","1","29/08/2004","0","Rhythmic Gymnastics","Bulgaria","1","2004"
"19","1","Daniela Masseroni","0","29/08/2004","0","Rhythmic Gymnastics","Italy","1","2004"
"20","0","Yelena Murzina","0","29/08/2004","1","Rhythmic Gymnastics","Russia","1","2004"
"18","0","Yelena Posevina","0","29/08/2004","1","Rhythmic Gymnastics","Russia","1","2004"
"19","0","Kristina Rangelova","1","29/08/2004","0","Rhythmic Gymnastics","Bulgaria","1","2004"
"16","1","Elisa Santoni","0","29/08/2004","0","Rhythmic Gymnastics","Italy","1","2004"
"17","0","Galina Tancheva","1","29/08/2004","0","Rhythmic Gymnastics","Bulgaria","1","2004"
"17","0","Vladislava Tancheva","1","29/08/2004","0","Rhythmic Gymnastics","Bulgaria","1","2004"
"18","1","Laura Vernizzi","0","29/08/2004","0","Rhythmic Gymnastics","Italy","1","2004"
"16","1","Tatyana Ananko","0","01/10/2000","0","Rhythmic Gymnastics","Belarus","1","2000"
"17","0","Eirini A?ndili","1","01/10/2000","0","Rhythmic Gymnastics","Greece","1","2000"
"21","0","Yuliya Barsukova","0","01/10/2000","1","Rhythmic Gymnastics","Russia","1","2000"
"17","1","Tatyana Belan","0","01/10/2000","0","Rhythmic Gymnastics","Belarus","1","2000"
"19","0","Irina Belova","0","01/10/2000","1","Rhythmic Gymnastics","Russia","1","2000"
"16","0","Maria Georgatou","1","01/10/2000","0","Rhythmic Gymnastics","Greece","1","2000"
"19","1","Anna Glazkova","0","01/10/2000","0","Rhythmic Gymnastics","Belarus","1","2000"
"20","1","Irina Ilenkova","0","01/10/2000","0","Rhythmic Gymnastics","Belarus","1","2000"
"17","0","Alina Kabayeva","1","01/10/2000","0","Rhythmic Gymnastics","Russia","1","2000"
"17","0","Zara Karyami","1","01/10/2000","0","Rhythmic Gymnastics","Greece","1","2000"
"17","0","Eva Khristodoulou","1","01/10/2000","0","Rhythmic Gymnastics","Greece","1","2000"
"16","0","Nataliya Lavrova","0","01/10/2000","1","Rhythmic Gymnastics","Russia","1","2000"
"16","1","Mariya Lazuk","0","01/10/2000","0","Rhythmic Gymnastics","Belarus","1","2000"
"17","0","Mariya Netesova","0","01/10/2000","1","Rhythmic Gymnastics","Russia","1","2000"
"15","0","Kharikleia Pantazi","1","01/10/2000","0","Rhythmic Gymnastics","Greece","1","2000"
"16","0","Anna Polatou","1","01/10/2000","0","Rhythmic Gymnastics","Greece","1","2000"
"17","1","Olga Puzhevich","0","01/10/2000","0","Rhythmic Gymnastics","Belarus","1","2000"
"18","1","Yuliya Raskina","0","01/10/2000","0","Rhythmic Gymnastics","Belarus","1","2000"
"18","0","Yelena Shalamova","0","01/10/2000","1","Rhythmic Gymnastics","Russia","1","2000"
"19","0","Vera Shimanskaya","0","01/10/2000","1","Rhythmic Gymnastics","Russia","1","2000"
"16","0","Irina Zilber","0","01/10/2000","1","Rhythmic Gymnastics","Russia","1","2000"
"25","1","Brett Camerota","0","28/02/2010","0","Nordic Combined","United States","1","2010"
"24","0","Tino Edelmann","1","28/02/2010","0","Nordic Combined","Germany","1","2010"
"21","0","Eric Frenzel","1","28/02/2010","0","Nordic Combined","Germany","1","2010"
